,I,P,S,B,K,A
0,1.5291428899444954,4.390513121682636,1.0,2.8613702317381406,0.6794396643349201,-0.6108844608188619
1,1.315238381973038,0.5673747784950441,1.0,-0.7478636034779939,0.4254403141130659,-0.1307094359923764
2,1.28588229493903,-0.024665132971159243,0.0,-0.3105474279101893,0.5906442790139561,0.044714160000522606
3,0.907468607986549,3.6581186571980697,1.0,2.7506500492115205,0.5647413975379815,4.180527607019017
4,0.8511913586925601,-0.9434941084426675,1.0,-1.7946854671352277,0.5738473116050834,-0.8248169303292383
5,1.5427565481444514,1.4215054767411623,0.0,1.878748928596711,0.653945557437649,1.859498386963092
6,-0.8944761040511173,2.819727111739506,1.0,5.714203215790623,0.40386832612276014,-1.6488386781195623
7,0.7302032168836248,2.377766629412114,1.0,2.647563412528489,0.37408984551020097,5.826284493927776
8,0.43906702298168526,-6.655526402632884,1.0,-7.09459342561457,0.2713691485061003,0.7237042206007327
9,-2.0050981037274638,-2.5278264340643624,1.0,0.4772716696631014,0.6002507652508945,1.2209311558617424
10,3.8585240825099953,5.468367259131238,0.0,1.6098431766212427,0.8972846051150223,1.284465942804548
11,-0.37687145062536137,-1.778021605212971,1.0,0.5988498454123905,0.32023839957536604,0.6898679277790485
12,1.0793887025232494,-2.6503094501351043,1.0,-1.7296981526583537,0.4511936301126961,-1.954642213282415
13,1.2148281093971074,-1.2322159916881097,0.0,-2.447044101085217,0.6916530431269331,2.1641743575216488
14,1.0032110510567331,-3.461826968504365,0.0,-2.4650380195610984,0.586487869735945,-3.7006059062201864
15,-0.051374831345315175,3.9191132988704123,0.0,4.9704881302157276,0.8502609200934882,-1.8853201694097483
16,1.7386656687277877,0.9094419037912916,1.0,-0.8292237649364961,0.8734998157701953,0.8903588331189528
17,2.586400679757474,4.770594734308185,1.0,2.184194054550711,0.4342766340083492,1.7637021905031645
18,-0.16252392980933522,0.8442330462765736,1.0,1.0067569760859088,0.4896599309231076,-1.3473375235940384
19,1.0192494748024572,0.5435469561212898,1.0,-0.4757025186811674,0.7371454862365572,0.27845422094392613
20,1.200695279486061,3.4092528561791937,0.0,2.2085575766931327,0.6304367001062751,3.662172924597706
21,0.63597018799872,-0.31062578491562426,1.0,0.053404027085655836,0.6627967146451931,1.0090883981568066
22,0.8666474964837889,3.2918496011996257,0.0,3.4252021047158374,0.7916314667873401,2.381813482436094
23,-1.1939554753378556,2.0726530272567425,1.0,4.266608502594599,0.7078607692435943,5.710111861396555
24,1.1106034711404458,-2.4379795575389203,0.0,-3.5485830286793663,0.666421721618305,5.49188639293631
